Date,Code,Open,High,Low,Close,Preclose,Volume,Amount,adjustflag,Turn,tradestatus,pctChg,isST
2021-02-22,sh.601899,14.4600,15.0000,14.3200,14.6300,13.6400,1031889104,15225407083.5700,3,5.253900,1,7.258100,0
2021-02-23,sh.601899,14.1000,14.5400,13.7700,13.8500,14.6300,717283184,10155195094.0800,3,3.652100,1,-5.331500,0
2021-02-24,sh.601899,13.9500,14.2700,12.5500,13.1000,13.8500,763929152,10206863198.0300,3,3.889600,1,-5.415200,0
2021-02-25,sh.601899,13.6500,13.7400,12.8800,12.9800,13.1000,546806688,7290211659.3800,3,2.784100,1,-0.916000,0
2021-02-26,sh.601899,12.1900,12.5600,11.9800,12.1900,12.9800,636144896,7798379240.9700,3,3.239000,1,-6.086300,0
2021-03-01,sh.601899,12.2200,12.4000,11.7600,12.3200,12.1900,531899040,6448600367.6700,3,2.708200,1,1.066400,0
2021-03-02,sh.601899,12.1000,12.1000,11.5500,11.7500,12.3200,495700048,5849304561.9900,3,2.523900,1,-4.626600,0
2021-03-03,sh.601899,11.9600,12.3500,11.8000,12.3200,11.7500,522198992,6320032302.7300,3,2.658800,1,4.851100,0
2021-03-04,sh.601899,11.9300,12.0300,11.2000,11.4500,12.3200,603698528,7008365501.9400,3,3.073800,1,-7.061700,0
2021-03-05,sh.601899,10.7800,11.1300,10.6000,11.0000,11.4500,532956768,5798586694.2800,3,2.713600,1,-3.930100,0
2021-03-08,sh.601899,11.3300,11.4000,10.5900,10.6700,11.0000,418196496,4602169063.2400,3,2.129300,1,-3.000000,0
2021-03-09,sh.601899,10.7000,11.0700,10.0100,10.7100,10.6700,505206080,5344246000.1000,3,2.572300,1,0.374900,0
2021-03-10,sh.601899,10.7900,10.8000,10.3500,10.4900,10.7100,296477776,3119352160.3200,3,1.509500,1,-2.054200,0
2021-03-11,sh.601899,10.6500,11.5400,10.5400,11.5400,10.4900,572997920,6359017076.2300,3,2.917500,1,10.009500,0
2021-03-12,sh.601899,11.7100,11.7700,11.0600,11.3500,11.5400,460870192,5259841299.1900,3,2.346600,1,-1.646400,0
2021-03-15,sh.601899,11.3000,11.6400,10.9700,11.2500,11.3500,418274400,4730861426.2400,3,2.129700,1,-0.881100,0
2021-03-16,sh.601899,11.2800,11.3000,10.7500,11.1100,11.2500,305393456,3362527958.5600,3,1.554900,1,-1.244400,0
2021-03-17,sh.601899,10.8000,11.1100,10.6600,11.0900,11.1100,244471019,2672406852.9100,3,1.244700,1,-0.180000,0
2021-03-18,sh.601899,11.4000,11.5700,11.1500,11.1800,11.0900,302583472,3428045770.0800,3,1.540600,1,0.811500,0
2021-03-19,sh.601899,10.8200,11.0300,10.6900,10.8300,11.1800,360642224,3899339140.4700,3,1.836200,1,-3.130600,0
2021-03-22,sh.601899,10.7500,10.8400,10.4100,10.6600,10.8300,311295888,3300885479.1000,3,1.585000,1,-1.569700,0
2021-03-23,sh.601899,10.7800,10.8400,10.0000,10.1300,10.6600,437961712,4499471589.0900,3,2.229900,1,-4.971900,0
2021-03-24,sh.601899,9.9000,10.0300,9.3000,9.3600,10.1300,573323232,5474910242.1200,3,2.919100,1,-7.601200,0
2021-03-25,sh.601899,9.4500,9.7900,9.4100,9.5600,9.3600,397265840,3817736537.0800,3,2.022700,1,2.136800,0
